Date;Hours;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
01/01/2015;00Ê-Ê01;12830;16864;6818;4423;40934;979;199;237;1415
01/01/2015;01Ê-Ê02;12633;16793;6751;4426;40602;882;180;253;1315
01/01/2015;02Ê-Ê03;12248;16634;6764;4159;39804;870;181;261;1312
01/01/2015;03Ê-Ê04;11979;16611;6587;4065;39242;880;186;263;1329
01/01/2015;04Ê-Ê05;11762;16623;6601;4110;39097;890;188;278;1356
01/01/2015;05Ê-Ê06;11859;16643;6698;4611;39812;883;191;287;1361
01/01/2015;06Ê-Ê07;11896;16659;6881;4717;40152;927;190;278;1395
01/01/2015;07Ê-Ê08;11830;17089;7010;4936;40864;961;190;295;1446
01/01/2015;08Ê-Ê09;11924;17334;7131;5118;41509;937;206;307;1450
01/01/2015;09Ê-Ê10;11907;17455;7131;5266;41759;927;210;324;1461
01/01/2015;10Ê-Ê11;12130;18164;7130;5515;42940;947;210;328;1485
01/01/2015;11Ê-Ê12;12384;18900;7111;5653;44049;954;192;316;1462
01/01/2015;12Ê-Ê13;12623;18974;7197;5741;44536;965;213;333;1511
01/01/2015;13Ê-Ê14;12656;19154;7262;5747;44821;973;207;309;1489
01/01/2015;14Ê-Ê15;13119;19763;7273;5550;45707;969;210;314;1493
01/01/2015;15Ê-Ê16;14126;20148;7315;5612;47201;1024;220;425;1669
01/01/2015;16Ê-Ê17;15445;20241;7333;5766;48786;1041;313;467;1821
01/01/2015;17Ê-Ê18;15493;20238;7297;5984;49013;1073;314;482;1869
01/01/2015;18Ê-Ê19;14929;20272;7248;6247;48696;1065;282;499;1846
01/01/2015;19Ê-Ê20;14328;19865;7097;6429;47719;1060;279;505;1844
01/01/2015;20Ê-Ê21;13732;19374;7087;6318;46511;1010;225;472;1707
01/01/2015;21Ê-Ê22;13026;19015;7024;6112;45178;1029;233;367;1629
01/01/2015;22Ê-Ê23;12509;18243;6970;5952;43673;1000;224;365;1589
01/01/2015;23Ê-Ê00;12006;17716;6729;5733;42186;994;205;349;1548
02/01/2015;00Ê-Ê01;11469;16924;6658;5076;40127;971;209;349;1529
02/01/2015;01Ê-Ê02;11468;16694;6616;4340;39118;951;203;306;1460
