Date;Hours;mWh
01/01/2016;00Ê-Ê01;40180,1
01/01/2016;01Ê-Ê02;39293,8
01/01/2016;02Ê-Ê03;38513,8
01/01/2016;03Ê-Ê04;38126,8
01/01/2016;04Ê-Ê05;37894,3
01/01/2016;05Ê-Ê06;38542,2
01/01/2016;06Ê-Ê07;39194
01/01/2016;07Ê-Ê08;40686,6
01/01/2016;08Ê-Ê09;41599,5
01/01/2016;09Ê-Ê10;42345,4
01/01/2016;10Ê-Ê11;43401,6
01/01/2016;11Ê-Ê12;44227,9
01/01/2016;12Ê-Ê13;45018,1
01/01/2016;13Ê-Ê14;45559,1
01/01/2016;14Ê-Ê15;46525,2
01/01/2016;15Ê-Ê16;48526,7
01/01/2016;16Ê-Ê17;49656
01/01/2016;17Ê-Ê18;50255,2
01/01/2016;18Ê-Ê19;49852,8
01/01/2016;19Ê-Ê20;48578,6
01/01/2016;20Ê-Ê21;47260,7
01/01/2016;21Ê-Ê22;46222,3
01/01/2016;22Ê-Ê23;44461,6
01/01/2016;23Ê-Ê00;42342,8
02/01/2016;00Ê-Ê01;40813
02/01/2016;01Ê-Ê02;39685,1
02/01/2016;02Ê-Ê03;37471,4
02/01/2016;03Ê-Ê04;37355,7
02/01/2016;04Ê-Ê05;37608,3
02/01/2016;05Ê-Ê06;38441
02/01/2016;06Ê-Ê07;40417,2
02/01/2016;07Ê-Ê08;42206,1
02/01/2016;08Ê-Ê09;44737,4
02/01/2016;09Ê-Ê10;46326,5
02/01/2016;10Ê-Ê11;47617,4
02/01/2016;11Ê-Ê12;48195,4
02/01/2016;12Ê-Ê13;47846,9
02/01/2016;13Ê-Ê14;47898,3
02/01/2016;14Ê-Ê15;48447,1
02/01/2016;15Ê-Ê16;49701,7
02/01/2016;16Ê-Ê17;50947,1
02/01/2016;17Ê-Ê18;51586,1
02/01/2016;18Ê-Ê19;51138,8
02/01/2016;19Ê-Ê20;49908,9
02/01/2016;20Ê-Ê21;48675,4
02/01/2016;21Ê-Ê22;47212,4
02/01/2016;22Ê-Ê23;46292,7
02/01/2016;23Ê-Ê00;43836,8
03/01/2016;00Ê-Ê01;42625,9
03/01/2016;01Ê-Ê02;41762,4
03/01/2016;02Ê-Ê03;41236,3
03/01/2016;03Ê-Ê04;40803,1
03/01/2016;04Ê-Ê05;40642,6
03/01/2016;05Ê-Ê06;41201,2
03/01/2016;06Ê-Ê07;42589
03/01/2016;07Ê-Ê08;44178,5
03/01/2016;08Ê-Ê09;45720,7
03/01/2016;09Ê-Ê10;47318
03/01/2016;10Ê-Ê11;48819,1
03/01/2016;11Ê-Ê12;50257,9
03/01/2016;12Ê-Ê13;50357,5
03/01/2016;13Ê-Ê14;49911,2
03/01/2016;14Ê-Ê15;50315,9
03/01/2016;15Ê-Ê16;51437,9
03/01/2016;16Ê-Ê17;52803,6
03/01/2016;17Ê-Ê18;53751,5
03/01/2016;18Ê-Ê19;53344
03/01/2016;19Ê-Ê20;52547,6
03/01/2016;20Ê-Ê21;51483,1
03/01/2016;21Ê-Ê22;50473,1
03/01/2016;22Ê-Ê23;48932,9
03/01/2016;23Ê-Ê00;46119,6
04/01/2016;00Ê-Ê01;44630,7
