Date;Month;Day;Hour;DK1_UP_P;DK1_Down_P;DK1_UP_Q;DK1_DOWN_Q;;;;;
01/01/2016;January;Friday;1;61;10;14,5;14,4;;;;;
01/01/2016;January;Friday;2;61;10;14,5;14,4;;;;;
01/01/2016;January;Friday;3;61;10;14,5;14,4;;;;;
01/01/2016;January;Friday;4;61;10;14,5;14,4;;;;;
01/01/2016;January;Friday;5;200;10;17,3;14,4;;;;;
01/01/2016;January;Friday;6;200;10;17,3;14,4;;;;;
01/01/2016;January;Friday;7;200;10;17,3;14,4;;;;;
01/01/2016;January;Friday;8;200;10;17,3;14,4;;;;;
01/01/2016;January;Friday;9;200;10;17;14,4;;;;;
01/01/2016;January;Friday;10;200;10;17;14,4;;;;;
01/01/2016;January;Friday;11;200;10;17;14,4;;;;;
01/01/2016;January;Friday;12;200;10;17;14,4;;;;;
01/01/2016;January;Friday;13;200;10;17,8;13;;;;;
01/01/2016;January;Friday;14;200;10;17,8;13;;;;;
01/01/2016;January;Friday;15;200;10;17,8;13;;;;;
01/01/2016;January;Friday;16;200;10;17,8;13;;;;;
01/01/2016;January;Friday;17;200;10;17,8;13;;;;;
01/01/2016;January;Friday;18;200;10;17,8;13;;;;;
01/01/2016;January;Friday;19;200;10;17,8;13;;;;;
01/01/2016;January;Friday;20;200;10;17,8;13;;;;;
01/01/2016;January;Friday;21;63;10;14,8;14,4;;;;;
01/01/2016;January;Friday;22;63;10;14,8;14,4;;;;;
01/01/2016;January;Friday;23;63;10;14,8;14,4;;;;;
01/01/2016;January;Friday;24;63;10;14,8;14,4;;;;;
02/01/2016;January;Saturday;1;24;23;13,8;19,2;;;;;
02/01/2016;January;Saturday;2;24;23;13,8;19,2;;;;;
02/01/2016;January;Saturday;3;24;23;13,8;19,2;;;;;
02/01/2016;January;Saturday;4;24;23;13,8;19,2;;;;;
02/01/2016;January;Saturday;5;27;10;14,7;15,1;;;;;
02/01/2016;January;Saturday;6;27;10;14,7;15,1;;;;;
02/01/2016;January;Saturday;7;27;10;14,7;15,1;;;;;
02/01/2016;January;Saturday;8;27;10;14,7;15,1;;;;;
02/01/2016;January;Saturday;9;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;10;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;11;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;12;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;13;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;14;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;15;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;16;38;10;13,6;13,3;;;;;
02/01/2016;January;Saturday;17;33;10;13,2;14,8;;;;;
02/01/2016;January;Saturday;18;33;10;13,2;14,8;;;;;
02/01/2016;January;Saturday;19;33;10;13,2;14,8;;;;;
02/01/2016;January;Saturday;20;33;10;13,2;14,8;;;;;
02/01/2016;January;Saturday;21;35;10;13,8;13,3;;;;;
02/01/2016;January;Saturday;22;35;10;13,8;13,3;;;;;
02/01/2016;January;Saturday;23;35;10;13,8;13,3;;;;;
02/01/2016;January;Saturday;24;35;10;13,8;13,3;;;;;
03/01/2016;January;Sunday;1;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;2;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;3;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;4;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;5;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;6;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;7;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;8;20;30;13,7;13,4;;;;;
03/01/2016;January;Sunday;9;41;24;13,5;22,6;;;;;
03/01/2016;January;Sunday;10;41;24;13,5;22,6;;;;;
03/01/2016;January;Sunday;11;41;24;13,5;22,6;;;;;
