"March","April","May","June","July","August","September","October","November","December16","January17","February","March","April"
293.066666666667,329.178571428571,265.233333333333,193.9,218.4,226.966666666667,244.766666666667,195.966666666667,267.433333333333,315.233333333333,278.433333333333,332.666666666667,296.2,296.551724137931
293.1,330.785714285714,265.233333333333,200.2,223.466666666667,224.133333333333,241.866666666667,198.866666666667,266.033333333333,313.133333333333,278.833333333333,334.333333333333,296.6,297
293.2,330.75,263.466666666667,201.766666666667,224.033333333333,220.433333333333,237.733333333333,201.066666666667,266.566666666667,310.633333333333,279.033333333333,334.2,294.966666666667,295.793103448276
292.3,332.321428571429,263.766666666667,201.433333333333,222.533333333333,218.966666666667,234.5,201.533333333333,267.666666666667,308.933333333333,279,335.066666666667,293.9,296.379310344828
291.766666666667,332.928571428571,264.666666666667,199.433333333333,221.433333333333,216.8,233.2,200.933333333333,268.1,308.8,280.633333333333,336.633333333333,294.566666666667,297.689655172414
291.7,332.321428571429,264.8,199.033333333333,220.333333333333,215.7,231.166666666667,198.866666666667,268.133333333333,309.2,282.233333333333,336.566666666667,294.733333333333,297.448275862069
291.966666666667,331.214285714286,264.366666666667,198.8,219.133333333333,216.233333333333,229.966666666667,199.033333333333,268.366666666667,308.733333333333,281.4,336.7,295.966666666667,297.827586206897
292.333333333333,331.964285714286,264.633333333333,198.6,217.766666666667,215.333333333333,229.4,198.666666666667,269.5,309.7,281.4,337.666666666667,296.166666666667,298.48275862069
293.7,331.892857142857,264.166666666667,197.733333333333,217,214.466666666667,228.9,198.3,270.533333333333,309.466666666667,281.3,337.166666666667,296.9,298.068965517241
293.666666666667,331.392857142857,263.733333333333,196.566666666667,216.266666666667,213.8,228.7,198.133333333333,271.6,309.5,281.4,337.166666666667,297.233333333333,297.793103448276
294.066666666667,333,264.066666666667,197.233333333333,218.233333333333,212.733333333333,228.933333333333,198.733333333333,271.7,309.933333333333,281.5,337.2,297.233333333333,299.620689655172
295.333333333333,333.428571428571,264.733333333333,196.166666666667,220.5,211.166666666667,229.066666666667,198.8,271.1,309.433333333333,281.266666666667,337.433333333333,297.7,299.655172413793
295.2,331.5,267.333333333333,196.333333333333,228.366666666667,211.833333333333,231.433333333333,195.666666666667,269.866666666667,309.866666666667,279.966666666667,338.033333333333,296.2,299.724137931034
296.2,334,274.966666666667,199.566666666667,236.133333333333,213.466666666667,237.166666666667,194.1,271.366666666667,311.1,281.666666666667,340.166666666667,296.9,300.896551724138
297.066666666667,334.428571428571,278.566666666667,201.033333333333,239.633333333333,212.166666666667,237.3,194.8,270.6,311.033333333333,282.1,340.066666666667,297.033333333333,300.48275862069
297.333333333333,334.75,277.9,201.1,241.7,211.166666666667,236.5,195.166666666667,270.266666666667,311.933333333333,283.533333333333,339.733333333333,297.933333333333,301.689655172414
297.633333333333,334.678571428571,278.7,201.833333333333,241.366666666667,210.266666666667,235.266666666667,195.133333333333,270.866666666667,311.866666666667,284.233333333333,340.6,299.3,303.48275862069
297.1,334.785714285714,278,201.6,241.433333333333,208.366666666667,234.233333333333,195.033333333333,271.133333333333,312,284.433333333333,340.866666666667,300.066666666667,304.310344827586
297.066666666667,334.214285714286,277.466666666667,201.733333333333,241.666666666667,208.5,233.166666666667,194.833333333333,271.333333333333,312.766666666667,284.866666666667,340.733333333333,300.166666666667,304.275862068966
297.233333333333,334.035714285714,276.966666666667,202,241.4,209.233333333333,233.066666666667,195.5,271.1,312.633333333333,285.733333333333,342,301.2,305.689655172414
296.833333333333,334,276.8,201.9,240.9,210.966666666667,233.633333333333,195.233333333333,271.633333333333,312.666666666667,285.9,342.666666666667,301.6,306.103448275862
296.866666666667,335.392857142857,277.033333333333,202.133333333333,240.866666666667,210.666666666667,233.666666666667,194.9,272.033333333333,313,285.8,342.933333333333,302.066666666667,305.931034482759
296.866666666667,335.642857142857,278.166666666667,202.466666666667,243.433333333333,211.1,233.6,196,272.166666666667,312.666666666667,286.233333333333,342.7,302.233333333333,306.931034482759
296.666666666667,334.321428571429,279.233333333333,202.6,245.2,210.6,232.933333333333,196.333333333333,272.2,311.466666666667,285.4,342.533333333333,301.966666666667,307.344827586207
295.533333333333,331.285714285714,279.466666666667,204.533333333333,249.166666666667,211.4,232.633333333333,195.4,273.633333333333,310.433333333333,285.466666666667,341.233333333333,302.466666666667,308.448275862069
295.266666666667,332.178571428571,281.433333333333,211.7,255.566666666667,214.133333333333,235.233333333333,199.6,274.666666666667,312.333333333333,286.5,341.433333333333,302.633333333333,309.310344827586
295.433333333333,332.75,282.233333333333,215.266666666667,257.633333333333,213.933333333333,236.066666666667,203.2,275.433333333333,314.466666666667,287.666666666667,341.3,302.333333333333,308.655172413793
295.133333333333,333.214285714286,282.8,216.5,259.2,214.733333333333,237.033333333333,204.2,275.533333333333,314.966666666667,287.933333333333,340.6,302.833333333333,308.51724137931
295.333333333333,333.178571428571,283.1,216.066666666667,258.6,214.766666666667,236.366666666667,204.166666666667,275.166666666667,314.933333333333,287.833333333333,340.433333333333,303.533333333333,308.896551724138
295.5,332.928571428571,283.7,216.266666666667,258.266666666667,214.833333333333,236.033333333333,203.4,275.633333333333,315.166666666667,287,340.166666666667,303.633333333333,308.172413793103
295.7,333.642857142857,284.166666666667,216.4,258.733333333333,215.433333333333,236.133333333333,201.633333333333,274.6,314.4,285.433333333333,340.566666666667,303.966666666667,309
295.766666666667,334.035714285714,284.033333333333,216.5,257.866666666667,215.1,236.033333333333,201.733333333333,274.633333333333,314.2,285.666666666667,340.733333333333,304.733333333333,308.689655172414
295.6,334.428571428571,283.933333333333,217.1,257.7,215.566666666667,236.7,201.533333333333,275.233333333333,313.766666666667,285.233333333333,340.733333333333,305.366666666667,309.448275862069
295.6,334.714285714286,284.733333333333,217.2,257.633333333333,215.466666666667,237.4,200.733333333333,275.133333333333,313.866666666667,284.566666666667,340.566666666667,305.466666666667,309
295.633333333333,335.642857142857,283.766666666667,218.233333333333,258.333333333333,213.8,237.8,199.933333333333,274.6,314.633333333333,284.6,340.066666666667,306.766666666667,309.724137931034
295.6,337.5,282.7,220.266666666667,259.766666666667,212.033333333333,237.066666666667,200,273.866666666667,315.633333333333,285.733333333333,341.166666666667,306.766666666667,310.51724137931
295.133333333333,339.035714285714,282.166666666667,226.466666666667,261.7,213.333333333333,238.566666666667,203.3,273.233333333333,315.933333333333,284.766666666667,340.166666666667,305.1,309.51724137931
296.866666666667,340.321428571429,284.866666666667,233.166666666667,266.266666666667,214.833333333333,240.8,207.333333333333,272.933333333333,316.766666666667,286.033333333333,340.766666666667,304.4,307.413793103448
297.766666666667,341.428571428571,286.366666666667,234.8,268.666666666667,214.4,241.266666666667,209.4,273.966666666667,317.533333333333,286.833333333333,340.433333333333,303.833333333333,306.896551724138
297.833333333333,343.464285714286,286.733333333333,236.366666666667,269.666666666667,213.866666666667,240.8,210,274.233333333333,318.433333333333,288.066666666667,340.733333333333,303.366666666667,307.862068965517
297.866666666667,344.357142857143,286.833333333333,235.933333333333,268.733333333333,214.033333333333,240.533333333333,210.866666666667,275.3,318.833333333333,287.766666666667,341.3,302.833333333333,307.827586206897
298.366666666667,344.392857142857,286.1,236.233333333333,268.8,214.966666666667,239.766666666667,211.933333333333,275.6,319.233333333333,288.266666666667,341.6,302.633333333333,307.758620689655
