Hours;DK1;DK2;DK;SYS;DK1;DK2
00Ê-Ê01;1818;1341;3159;122,29;122,29;122,29
01Ê-Ê02;1741;1288;3029;119,68;119,68;119,68
02Ê-Ê03;1660;1232;2892;117,44;117,44;117,44
03Ê-Ê04;1593;1169;2762;116,18;116,18;116,18
04Ê-Ê05;1545;1141;2686;115,43;115,43;115,43
05Ê-Ê06;1552;1144;2696;117,52;117,52;117,52
06Ê-Ê07;1605;1175;2780;114,61;114,61;114,61
07Ê-Ê08;1663;1202;2865;114,68;114,68;114,68
08Ê-Ê09;1733;1239;2972;113,34;113,34;113,34
09Ê-Ê10;1809;1310;3119;114,83;114,83;114,83
10Ê-Ê11;1922;1411;3333;117,74;117,74;117,74
11Ê-Ê12;2010;1479;3489;120,5;120,5;120,5
12Ê-Ê13;2043;1518;3561;123,11;123,11;123,11
13Ê-Ê14;2043;1530;3573;124,76;124,76;124,76
14Ê-Ê15;2043;1544;3587;128,11;128,11;128,11
15Ê-Ê16;2088;1589;3677;134,31;134,31;134,31
16Ê-Ê17;2312;1709;4021;137,96;138,26;138,26
17Ê-Ê18;2433;1800;4233;140,28;142,59;142,59
18Ê-Ê19;2481;1788;4269;138,93;139,38;139,38
19Ê-Ê20;2335;1703;4038;133,71;133,78;133,78
20Ê-Ê21;2149;1593;3742;131,84;131,99;131,99
21Ê-Ê22;2000;1501;3501;129,61;129,31;129,31
22Ê-Ê23;1858;1411;3269;125,65;124,98;124,98
23Ê-Ê00;1713;1314;3027;121,1;121,25;121,25
00Ê-Ê01;1615;1215;2830;121,47;5;122,88
01Ê-Ê02;1510;1155;2665;118,26;73,86;118,56
02Ê-Ê03;1461;1120;2581;112,07;112,14;112,14
03Ê-Ê04;1463;1113;2576;98,34;95,28;98,41
04Ê-Ê05;1476;1124;2600;94,68;84,09;94,68
05Ê-Ê06;1579;1160;2739;96,55;88,86;96,55
06Ê-Ê07;1683;1239;2922;101,32;94,16;101,4
07Ê-Ê08;1883;1350;3233;107,22;103,19;106,32
08Ê-Ê09;2026;1459;3485;117,44;120,27;117,14
09Ê-Ê10;2157;1589;3746;117,44;117,29;117,29
10Ê-Ê11;2282;1706;3988;119,3;119,15;119,15
11Ê-Ê12;2325;1750;4075;119,9;119,23;120,42
12Ê-Ê13;2254;1757;4011;118,56;118,41;118,41
13Ê-Ê14;2297;1765;4062;119,45;119,23;119,23
14Ê-Ê15;2295;1778;4073;120,87;119,3;120,27
15Ê-Ê16;2266;1806;4072;125,2;119,3;123,63
16Ê-Ê17;2464;1945;4409;130,87;121,02;129
17Ê-Ê18;2703;2070;4773;133,7;123,18;130,72
18Ê-Ê19;2651;2052;4703;131,39;122,14;129,6
19Ê-Ê20;2435;1910;4345;126,54;119,97;126,47
20Ê-Ê21;2264;1777;4041;124,6;120,5;123,56
21Ê-Ê22;2092;1668;3760;120,42;118,11;118,11
22Ê-Ê23;2027;1591;3618;119,6;118,03;118,03
23Ê-Ê00;1822;1462;3284;115,35;114,23;114,23
00Ê-Ê01;1724;1388;3112;119,45;52,15;119,3
01Ê-Ê02;1665;1315;2980;116,32;-0,07;118,41
02Ê-Ê03;1671;1259;2930;116,99;1,72;117,59
03Ê-Ê04;1619;1210;2829;116,02;33,65;116,32
04Ê-Ê05;1642;1249;2891;114,08;30,74;117,06
05Ê-Ê06;1669;1270;2939;116,24;50,44;118,11
06Ê-Ê07;1810;1329;3139;112,36;5,6;111,77
07Ê-Ê08;1986;1400;3386;115,8;31,86;115,87
08Ê-Ê09;2177;1506;3683;117,74;67,97;117,81
09Ê-Ê10;2195;1629;3824;121,09;118,78;122,06
10Ê-Ê11;2342;1734;4076;125,94;124,6;127,96
11Ê-Ê12;2379;1777;4156;131,17;123,03;133,85
12Ê-Ê13;2297;1774;4071;130,94;122,14;133,85
13Ê-Ê14;2303;1753;4056;128,18;121,99;131,76
14Ê-Ê15;2323;1750;4073;129,9;121,99;131,76
15Ê-Ê16;2373;1743;4116;130,35;121,62;131,32
16Ê-Ê17;2603;1820;4423;138,93;122,74;138,85
17Ê-Ê18;2896;1923;4819;143,03;128,48;142,58
18Ê-Ê19;2803;1937;4740;140,57;125,57;140,72
19Ê-Ê20;2621;1867;4488;136,84;122,96;138,1
20Ê-Ê21;2450;1753;4203;133,55;122,59;134,9
21Ê-Ê22;2294;1706;4000;130,72;122,59;132,21
22Ê-Ê23;2127;1557;3684;125,27;127,06;127,06
23Ê-Ê00;1998;1431;3429;116,92;107,66;117,44
00Ê-Ê01;1844;1347;3191;118,11;102,81;119,08
01Ê-Ê02;1803;1294;3097;116,09;95,28;117,96
02Ê-Ê03;1789;1255;3044;114,98;78,79;116,09
03Ê-Ê04;1819;1251;3070;115,2;28,87;116,17
04Ê-Ê05;1903;1282;3185;117,36;23,88;118,78
05Ê-Ê06;2056;1399;3455;121,02;64,69;125,05
06Ê-Ê07;2434;1636;4070;135,05;134,37;134,37
07Ê-Ê08;2966;1944;4910;150,71;145,79;145,79
08Ê-Ê09;3100;2048;5148;161,61;152,88;152,88
09Ê-Ê10;3059;2067;5126;156,46;152,88;152,88
10Ê-Ê11;3116;2072;5188;156,83;152,73;152,73
11Ê-Ê12;3067;2060;5127;154,74;150,27;150,27
12Ê-Ê13;2991;2026;5017;152,43;148,1;148,1
13Ê-Ê14;3013;2019;5032;152,36;147,95;147,95
14Ê-Ê15;2876;1997;4873;153,77;148,33;148,33
15Ê-Ê16;2864;2005;4869;156,31;149,89;149,89
16Ê-Ê17;2977;2151;5128;168,7;155,12;164,59
17Ê-Ê18;3198;2338;5536;176,31;157,21;212,49
18Ê-Ê19;3047;2274;5321;162,28;153,25;153,25
19Ê-Ê20;2919;2102;5021;152,36;147,51;147,51
20Ê-Ê21;2698;1949;4647;145,04;142,13;142,13
21Ê-Ê22;2463;1809;4272;140,64;138,03;138,03
22Ê-Ê23;2293;1639;3932;133,63;132,14;132,14
23Ê-Ê00;2079;1495;3574;127,44;127,06;127,06
00Ê-Ê01;1940;1385;3325;131,92;131,92;131,92
01Ê-Ê02;1891;1326;3217;129,31;129,31;129,31
02Ê-Ê03;1952;1292;3244;128,64;128,64;128,64
03Ê-Ê04;1957;1298;3255;129,23;129,23;129,23
04Ê-Ê05;2031;1340;3371;131,77;131,77;131,77
05Ê-Ê06;2162;1435;3597;135,95;133,71;133,71
06Ê-Ê07;2559;1708;4267;145,05;140,28;140,28
07Ê-Ê08;3020;2005;5025;169,53;153,04;153,04
08Ê-Ê09;3143;2109;5252;198,1;168,48;168,48
