Hour;kWh
00.00.00;0,160
01.00.00;0,150
02.00.00;0,140
03.00.00;0,170
04.00.00;0,120
05.00.00;0,030
06.00.00;0,030
07.00.00;0,040
08.00.00;0,050
09.00.00;0,030
10.00.00;0,040
11.00.00;0,050
12.00.00;1,450
13.00.00;0,390
14.00.00;0,140
15.00.00;0,160
16.00.00;0,180
17.00.00;0,110
18.00.00;0,170
19.00.00;0,200
20.00.00;0,180
21.00.00;0,160
22.00.00;0,070
23.00.00;0,080
00.00.00;0,070
01.00.00;0,070
02.00.00;0,060
03.00.00;0,090
04.00.00;0,070
05.00.00;0,060
06.00.00;0,080
07.00.00;0,070
08.00.00;0,060
09.00.00;0,080
10.00.00;0,070
11.00.00;0,050
12.00.00;0,080
13.00.00;0,070
14.00.00;0,060
15.00.00;0,080
16.00.00;0,070
17.00.00;0,060
18.00.00;0,070
19.00.00;0,080
20.00.00;0,110
21.00.00;0,270
22.00.00;0,220
23.00.00;0,120
00.00.00;0,070
01.00.00;0,040
02.00.00;0,060
03.00.00;0,060
04.00.00;0,040
05.00.00;0,070
06.00.00;0,030
07.00.00;0,070
08.00.00;0,080
09.00.00;0,200
10.00.00;0,190
11.00.00;0,150
12.00.00;0,220
13.00.00;0,200
14.00.00;0,220
15.00.00;0,340
16.00.00;0,160
17.00.00;0,140
18.00.00;0,170
19.00.00;1,110
20.00.00;0,460
21.00.00;0,180
22.00.00;0,060
23.00.00;0,050
00.00.00;0,060
01.00.00;0,040
02.00.00;0,040
03.00.00;0,050
04.00.00;0,020
05.00.00;0,080
06.00.00;0,140
07.00.00;0,060
08.00.00;0,210
09.00.00;0,090
10.00.00;0,070
11.00.00;0,070
12.00.00;0,070
13.00.00;0,060
14.00.00;0,090
15.00.00;0,050
16.00.00;0,030
17.00.00;0,040
18.00.00;0,040
19.00.00;0,030
20.00.00;0,040
21.00.00;0,050
22.00.00;0,020
23.00.00;0,040
00.00.00;0,050
01.00.00;0,030
02.00.00;0,040
03.00.00;0,040
04.00.00;0,020
05.00.00;0,050
06.00.00;0,040
07.00.00;0,020
08.00.00;0,050
09.00.00;0,040
10.00.00;0,020
11.00.00;0,050
12.00.00;0,040
13.00.00;0,030
14.00.00;0,050
15.00.00;0,030
16.00.00;0,040
17.00.00;0,040
18.00.00;0,020
19.00.00;0,050
20.00.00;0,040
21.00.00;0,030
22.00.00;0,050
23.00.00;0,030
00.00.00;0,040
01.00.00;0,040
02.00.00;0,030
03.00.00;0,050
04.00.00;0,020
05.00.00;0,060
06.00.00;0,020
07.00.00;0,050
08.00.00;0,030
09.00.00;0,040
10.00.00;0,030
