Hour;kWh
00.00.00;0,16
01.00.00;0,15
02.00.00;0,14
03.00.00;0,17
04.00.00;0,12
05.00.00;0,03
06.00.00;0,03
07.00.00;0,04
08.00.00;0,05
09.00.00;0,03
10.00.00;0,04
11.00.00;0,05
12.00.00;1,45
13.00.00;0,39
14.00.00;0,14
15.00.00;0,16
16.00.00;0,18
17.00.00;0,11
18.00.00;0,17
19.00.00;0,2
20.00.00;0,18
21.00.00;0,16
22.00.00;0,07
23.00.00;0,08
00.00.00;0,07
01.00.00;0,07
02.00.00;0,06
03.00.00;0,09
04.00.00;0,07
05.00.00;0,06
06.00.00;0,08
07.00.00;0,07
08.00.00;0,06
09.00.00;0,08
10.00.00;0,07
11.00.00;0,05
12.00.00;0,08
13.00.00;0,07
14.00.00;0,06
15.00.00;0,08
16.00.00;0,07
17.00.00;0,06
18.00.00;0,07
19.00.00;0,08
20.00.00;0,11
21.00.00;0,27
22.00.00;0,22
23.00.00;0,12
00.00.00;0,07
01.00.00;0,04
02.00.00;0,06
03.00.00;0,06
04.00.00;0,04
05.00.00;0,07
06.00.00;0,03
07.00.00;0,07
08.00.00;0,08
09.00.00;0,2
10.00.00;0,19
11.00.00;0,15
12.00.00;0,22
13.00.00;0,2
14.00.00;0,22
15.00.00;0,34
16.00.00;0,16
17.00.00;0,14
18.00.00;0,17
19.00.00;1,11
20.00.00;0,46
21.00.00;0,18
22.00.00;0,06
23.00.00;0,05
00.00.00;0,06
01.00.00;0,04
02.00.00;0,04
03.00.00;0,05
04.00.00;0,02
05.00.00;0,08
06.00.00;0,14
07.00.00;0,06
08.00.00;0,21
09.00.00;0,09
10.00.00;0,07
11.00.00;0,07
12.00.00;0,07
13.00.00;0,06
14.00.00;0,09
15.00.00;0,05
16.00.00;0,03
17.00.00;0,04
18.00.00;0,04
19.00.00;0,03
20.00.00;0,04
21.00.00;0,05
22.00.00;0,02
23.00.00;0,04
00.00.00;0,05
01.00.00;0,03
02.00.00;0,04
03.00.00;0,04
04.00.00;0,02
05.00.00;0,05
06.00.00;0,04
07.00.00;0,02
08.00.00;0,05
09.00.00;0,04
10.00.00;0,02
11.00.00;0,05
12.00.00;0,04
13.00.00;0,03
14.00.00;0,05
15.00.00;0,03
16.00.00;0,04
17.00.00;0,04
18.00.00;0,02
19.00.00;0,05
20.00.00;0,04
21.00.00;0,03
22.00.00;0,05
23.00.00;0,03
00.00.00;0,04
01.00.00;0,04
02.00.00;0,03
03.00.00;0,05
04.00.00;0,02
05.00.00;0,06
06.00.00;0,02
07.00.00;0,05
08.00.00;0,03
09.00.00;0,04
10.00.00;0,03
11.00.00;0,04
12.00.00;0,04
13.00.00;0,04
14.00.00;0,03
15.00.00;0,03
16.00.00;0,05
17.00.00;0,02
18.00.00;0,06
19.00.00;0,02
20.00.00;0,05
21.00.00;0,03
22.00.00;0,04
23.00.00;0,03
00.00.00;0,04
01.00.00;0,04
02.00.00;0,03
03.00.00;0,05
04.00.00;0,03
05.00.00;0,04
06.00.00;0,03
07.00.00;0,04
08.00.00;0,03
09.00.00;0,05
10.00.00;0,03
11.00.00;0,04
12.00.00;0,03
13.00.00;0,04
14.00.00;0,03
15.00.00;0,04
16.00.00;0,03
17.00.00;0,05
18.00.00;0,02
19.00.00;0,05
20.00.00;0,02
21.00.00;0,06
22.00.00;0,01
23.00.00;0,06
00.00.00;0,02
01.00.00;0,05
02.00.00;0,02
03.00.00;0,05
04.00.00;0,03
05.00.00;0,04
06.00.00;0,03
07.00.00;0,04
08.00.00;0,04
09.00.00;0,04
10.00.00;0,04
11.00.00;0,02
12.00.00;0,06
13.00.00;0,01
14.00.00;0,06
15.00.00;0,02
16.00.00;0,04
17.00.00;0,04
18.00.00;0,03
19.00.00;0,05
20.00.00;0,02
21.00.00;0,05
22.00.00;0,03
23.00.00;0,05
00.00.00;0,03
01.00.00;0,04
02.00.00;0,04
03.00.00;0,03
04.00.00;0,05
05.00.00;0,02
06.00.00;0,06
07.00.00;0,01
08.00.00;0,06
09.00.00;0,02
10.00.00;0,05
11.00.00;0,02
12.00.00;0,05
13.00.00;0,03
14.00.00;0,04
15.00.00;0,04
16.00.00;0,02
17.00.00;0,05
18.00.00;0,03
19.00.00;0,04
20.00.00;0,05
21.00.00;0,02
22.00.00;0,05
23.00.00;0,03
00.00.00;0,04
01.00.00;0,04
02.00.00;0,02
03.00.00;0,06
04.00.00;0,02
05.00.00;0,04
06.00.00;0,05
07.00.00;0,02
08.00.00;0,06
09.00.00;0,02
10.00.00;0,04
11.00.00;0,04
12.00.00;0,03
13.00.00;0,05
14.00.00;0,02
15.00.00;0,05
16.00.00;0,04
17.00.00;0,03
18.00.00;0,05
19.00.00;0,02
20.00.00;0,05
21.00.00;0,04
22.00.00;0,02
23.00.00;0,05
00.00.00;0,03
01.00.00;0,04
02.00.00;0,05
03.00.00;0,02
04.00.00;0,05
05.00.00;0,03
06.00.00;0,04
07.00.00;0,05
08.00.00;0,01
09.00.00;0,06
10.00.00;0,03
11.00.00;0,03
12.00.00;0,06
13.00.00;0,02
14.00.00;0,04
15.00.00;0,05
16.00.00;0,02
17.00.00;0,05
18.00.00;0,04
19.00.00;0,02
20.00.00;0,05
21.00.00;0,04
22.00.00;0,03
23.00.00;0,1
00.00.00;0,1
01.00.00;0,06
02.00.00;0,04
03.00.00;0,06
04.00.00;0,03
05.00.00;0,05
06.00.00;0,09
07.00.00;0,03
08.00.00;0,06
09.00.00;0,21
10.00.00;0,07
11.00.00;0,06
12.00.00;0,04
13.00.00;0,05
14.00.00;0,05
15.00.00;0,03
16.00.00;0,05
17.00.00;1,13
18.00.00;0,61
19.00.00;0,16
20.00.00;0,14
21.00.00;0,2
22.00.00;0,21
23.00.00;0,05
00.00.00;0,03
01.00.00;0,06
02.00.00;0,03
03.00.00;0,05
04.00.00;0,04
05.00.00;0,04
06.00.00;0,05
07.00.00;0,3
08.00.00;0,26
09.00.00;0,13
10.00.00;0,04
11.00.00;0,04
12.00.00;0,05
13.00.00;0,04
14.00.00;0,02
15.00.00;0,05
16.00.00;0,05
17.00.00;0,03
18.00.00;0,03
19.00.00;0,05
20.00.00;0,05
21.00.00;0,03
22.00.00;0,03
23.00.00;0,05
00.00.00;0,04
01.00.00;0,04
02.00.00;0,03
03.00.00;0,06
04.00.00;0,03
05.00.00;0,04
06.00.00;0,05
07.00.00;0,02
08.00.00;0,06
09.00.00;0,03
10.00.00;0,04
11.00.00;0,05
12.00.00;0,02
13.00.00;0,05
14.00.00;0,04
15.00.00;0,03
16.00.00;0,06
17.00.00;0,02
18.00.00;0,04
19.00.00;0,05
20.00.00;0,04
21.00.00;0,08
22.00.00;0,04
23.00.00;0,08
00.00.00;0,05
01.00.00;0,06
02.00.00;0,06
03.00.00;0,06
04.00.00;0,06
05.00.00;0,05
06.00.00;0,07
07.00.00;0,05
08.00.00;0,07
09.00.00;0,04
10.00.00;0,08
11.00.00;0,04
12.00.00;0,08
13.00.00;0,04
14.00.00;0,07
15.00.00;0,05
16.00.00;0,07
17.00.00;0,04
18.00.00;0,06
19.00.00;0,02
20.00.00;0,05
21.00.00;0,02
22.00.00;0,06
23.00.00;0,02
00.00.00;0,05
01.00.00;0,02
02.00.00;0,06
03.00.00;0,01
04.00.00;0,06
05.00.00;0,02
06.00.00;0,06
07.00.00;0,02
08.00.00;0,06
09.00.00;0,02
10.00.00;0,05
11.00.00;0,02
12.00.00;0,06
13.00.00;0,01
14.00.00;0,06
15.00.00;0,02
16.00.00;0,05
17.00.00;0,03
18.00.00;0,04
19.00.00;0,04
20.00.00;0,03
21.00.00;0,05
22.00.00;0,02
23.00.00;0,06
00.00.00;0,03
01.00.00;0,04
02.00.00;0,04
03.00.00;0,03
04.00.00;0,05
05.00.00;0,02
06.00.00;0,06
07.00.00;0,02
08.00.00;0,05
09.00.00;0,04
10.00.00;0,03
11.00.00;0,05
12.00.00;0,03
13.00.00;0,05
14.00.00;0,02
15.00.00;0,05
16.00.00;0,03
17.00.00;0,04
18.00.00;0,04
19.00.00;0,03
20.00.00;0,05
21.00.00;0,02
22.00.00;0,06
23.00.00;0,03
00.00.00;0,04
01.00.00;0,04
02.00.00;0,03
03.00.00;0,05
04.00.00;0,03
05.00.00;0,05
06.00.00;0,02
07.00.00;0,05
08.00.00;0,03
09.00.00;0,05
10.00.00;0,03
11.00.00;0,04
12.00.00;0,04
13.00.00;0,03
14.00.00;0,05
15.00.00;0,02
16.00.00;0,06
17.00.00;0,02
18.00.00;0,04
19.00.00;0,04
20.00.00;0,03
21.00.00;0,05
22.00.00;0,03
23.00.00;0,05
00.00.00;0,04
01.00.00;0,03
02.00.00;0,05
03.00.00;0,03
04.00.00;0,04
05.00.00;0,04
06.00.00;0,03
07.00.00;0,06
08.00.00;0,02
09.00.00;0,05
10.00.00;0,04
11.00.00;0,02
12.00.00;0,05
13.00.00;0,04
